crop,area,rainfall,pesticide,soil_ph,fertilizer,temperature,yield
Pigeon peas,51.4,630.07,1.03,5.85,70.21,20.5,2.13
Pigeon peas,11.15,933.79,1.03,5.63,76.66,24.84,1.79
Pigeon peas,2.31,641.72,1.48,6.48,122.77,25.83,2.75
Pigeon peas,26.79,714.74,0.88,5.52,58.88,23.49,2.17
Pigeon peas,10.01,944.13,1.0,5.62,126.62,25.86,1.55
Pigeon peas,44.71,923.22,0.64,7.13,76.27,27.78,2.29
Pigeon peas,29.55,712.77,0.77,6.99,131.87,27.17,1.86
Pigeon peas,31.12,601.2,0.84,6.87,114.91,22.57,2.26
Pigeon peas,37.79,643.21,1.55,6.59,136.04,20.75,2.53
Pigeon peas,49.79,621.62,1.66,5.92,119.03,20.73,2.11
Pigeon peas,5.09,782.8,1.33,6.94,120.34,30.4,2.42
Pigeon peas,34.22,849.72,1.46,6.95,117.84,26.96,3.23
Pigeon peas,1.22,850.02,1.32,6.19,57.73,31.78,2.55
Pigeon peas,21.13,817.72,0.97,6.08,137.3,30.77,2.89
Pigeon peas,8.58,928.47,0.89,7.1,104.53,26.56,1.7
Pigeon peas,54.38,948.49,0.62,6.71,141.69,28.91,2.73
Pigeon peas,22.87,900.71,1.76,6.24,101.5,27.2,1.87
Pigeon peas,49.93,865.75,1.01,6.15,130.36,29.21,2.33
Pigeon peas,51.18,732.67,0.96,7.26,87.17,21.49,2.31
Pigeon peas,12.25,692.1,1.4,7.31,113.31,23.78,2.8
Pigeon peas,45.18,609.46,1.67,6.49,148.92,23.26,2.02
Pigeon peas,30.5,653.1,0.83,6.82,149.03,24.48,1.96
Pigeon peas,39.88,802.97,0.91,7.23,141.84,23.19,2.84
Pigeon peas,16.13,781.53,1.64,7.2,103.02,30.89,1.32
Pigeon peas,57.86,941.87,1.66,7.27,102.89,33.62,1.23
Pigeon peas,10.3,741.27,1.34,7.36,134.86,32.68,2.56
Pigeon peas,2.93,752.69,0.98,7.37,78.53,31.74,1.29
Pigeon peas,25.54,787.11,1.28,6.87,53.92,31.75,1.65
Pigeon peas,26.87,981.52,1.59,7.41,107.9,20.32,2.76
Pigeon peas,23.06,695.98,0.78,7.02,74.65,26.42,2.23
Pigeon peas,57.25,928.53,0.92,6.5,130.21,20.22,2.51
Pigeon peas,25.8,835.38,1.48,5.69,75.08,32.84,1.05
Pigeon peas,5.18,818.65,1.26,6.82,58.83,33.27,1.15
Pigeon peas,16.89,826.21,0.32,7.4,62.45,22.34,2.58
Pigeon peas,41.24,981.34,1.23,6.0,116.73,31.59,2.07
Pigeon peas,48.03,933.69,1.21,7.13,94.16,20.58,1.16
Pigeon peas,58.61,911.43,0.73,6.33,104.2,22.22,2.69
Pigeon peas,22.3,996.69,0.46,7.29,103.73,33.4,2.85
Pigeon peas,22.39,644.56,0.72,5.92,50.3,23.17,1.92
Pigeon peas,56.94,881.27,1.18,5.93,145.71,28.36,1.87
Pigeon peas,21.57,904.98,1.25,6.74,65.49,27.45,2.17
Pigeon peas,33.99,753.42,1.79,7.01,63.91,31.78,1.52
Pigeon peas,58.36,726.36,1.11,6.5,99.73,29.99,2.16
Pigeon peas,27.78,852.33,0.5,5.56,69.85,26.21,1.82
Pigeon peas,24.84,991.79,1.46,6.06,134.32,30.6,2.66
Pigeon peas,2.79,714.7,1.53,6.56,57.74,20.68,1.37
Pigeon peas,59.08,767.19,1.74,5.73,94.0,24.14,2.07
Pigeon peas,12.55,802.26,1.6,6.63,120.84,32.18,2.41
Pigeon peas,37.83,733.48,1.63,6.09,143.55,20.24,2.06
Pigeon peas,22.34,962.14,1.53,7.39,149.45,34.1,2.79
Pigeon peas,48.0,700.78,1.23,6.48,72.02,34.62,1.5
Pigeon peas,19.94,869.31,1.43,6.91,59.08,22.85,2.89
Pigeon peas,28.73,817.35,1.38,6.02,126.85,25.0,2.55
Pigeon peas,18.01,949.0,0.51,6.36,85.47,22.15,1.19
Pigeon peas,16.11,819.99,1.28,5.69,141.17,24.33,2.33
Pigeon peas,38.05,868.31,1.54,6.07,132.65,27.31,2.06
Pigeon peas,41.9,950.16,0.42,6.55,99.6,24.2,2.68
Pigeon peas,49.22,977.01,0.43,7.38,142.78,29.43,2.03
Pigeon peas,2.02,817.04,0.95,6.19,85.98,30.57,2.67
Pigeon peas,59.74,881.22,0.67,5.54,106.69,23.11,1.51
Pigeon peas,25.84,773.73,1.06,6.63,86.31,28.26,1.28
Pigeon peas,56.62,779.51,0.33,6.82,134.45,23.27,1.69
Pigeon peas,10.49,868.13,0.65,5.94,132.1,23.0,3.05
Pigeon peas,31.45,619.09,0.59,7.09,141.49,33.85,2.71
Pigeon peas,10.08,837.55,0.83,7.44,119.0,24.35,3.17
Pigeon peas,1.11,676.74,0.45,5.79,127.76,31.08,1.19
Pigeon peas,9.99,617.67,1.78,6.5,145.67,21.48,2.12
Pigeon peas,50.34,717.1,0.75,6.74,137.67,30.13,2.4
Pigeon peas,43.22,691.13,0.84,6.45,92.89,33.34,1.15
Pigeon peas,25.15,943.1,0.69,5.86,101.89,33.83,1.21
Pigeon peas,29.78,996.25,1.13,6.02,53.03,26.75,2.68
Pigeon peas,55.8,774.05,1.17,5.99,50.68,29.16,1.88
Pigeon peas,42.09,773.11,0.64,5.94,136.95,22.7,2.43
Pigeon peas,14.43,755.95,1.75,6.87,79.74,28.03,2.3
Pigeon peas,3.08,926.49,0.82,7.17,120.79,34.44,1.26
Pigeon peas,4.43,822.25,0.75,6.5,84.37,22.57,2.26
Pigeon peas,3.7,760.75,0.87,6.89,149.56,26.0,1.7
Pigeon peas,56.44,980.24,1.1,6.34,130.06,20.96,2.8
Pigeon peas,33.03,609.03,1.25,5.87,78.81,30.75,1.9
Pigeon peas,29.61,939.03,1.11,6.24,143.87,33.97,1.84
Pigeon peas,25.72,774.13,1.79,7.07,61.28,34.18,1.84
Pigeon peas,16.83,954.04,1.39,5.67,56.28,25.89,1.24
Pigeon peas,5.3,703.54,1.7,6.45,95.11,32.87,2.1
Pigeon peas,23.44,819.8,0.44,6.59,149.09,34.98,1.94
Pigeon peas,25.37,807.77,1.1,6.6,109.22,33.08,1.69
Pigeon peas,47.54,820.87,0.44,5.57,95.43,33.9,1.46
Moth beans,13.41,498.95,1.12,6.73,56.82,29.12,0.99
Moth beans,24.44,453.15,0.21,7.47,111.64,25.15,1.86
Moth beans,27.17,310.3,0.33,7.05,79.39,27.69,1.49
Moth beans,17.2,294.78,0.41,6.81,68.44,24.68,1.2
Moth beans,14.66,275.78,0.24,6.31,61.48,29.58,0.66
Moth beans,18.57,419.21,1.09,6.71,64.32,29.75,1.14
Moth beans,9.36,361.72,0.98,7.0,88.44,28.33,1.88
Moth beans,19.28,332.5,0.26,6.22,110.92,24.45,1.45
Moth beans,8.83,410.51,0.52,6.65,75.16,24.75,1.0
Moth beans,10.48,336.86,0.7,6.11,67.24,31.61,0.55
Moth beans,28.0,263.16,1.04,6.15,81.85,27.5,0.58
Moth beans,14.96,276.93,0.35,6.88,117.09,25.36,0.9
Moth beans,25.36,387.55,0.38,7.48,101.14,24.46,0.98
Moth beans,5.21,215.89,0.41,6.39,70.57,28.17,1.35
Moth beans,29.22,445.18,0.67,7.48,114.43,28.64,0.96
Moth beans,23.24,384.36,0.69,6.73,99.14,30.5,1.55
Moth beans,26.74,395.16,0.35,6.21,99.28,25.36,0.92
Moth beans,5.2,261.83,0.58,7.12,64.73,30.47,1.16
Moth beans,27.21,289.61,0.25,6.51,59.53,28.61,1.35
Moth beans,3.54,208.73,0.89,7.05,81.14,24.09,0.7
Moth beans,22.46,495.78,0.8,6.01,103.99,25.42,1.4
Moth beans,18.38,201.5,0.41,6.08,72.46,30.83,0.8
Moth beans,27.5,262.71,0.84,6.07,105.5,31.53,0.93
Moth beans,23.06,488.99,0.56,6.36,91.06,28.05,1.86
Moth beans,2.15,268.57,0.85,6.44,69.81,26.61,0.82
Moth beans,18.95,470.6,0.83,7.37,42.63,25.38,0.96
Moth beans,29.88,347.87,0.57,6.86,91.66,24.95,1.45
Moth beans,2.81,438.66,0.25,6.41,72.87,24.67,0.79
Moth beans,1.52,295.67,0.47,6.02,57.23,24.82,1.44
Moth beans,20.6,406.32,0.32,7.11,95.85,26.44,1.52
Moth beans,4.82,423.71,1.01,7.29,55.85,27.72,1.59
Moth beans,28.18,235.73,0.31,6.74,105.36,28.93,1.14
Moth beans,13.72,275.24,0.35,6.02,47.75,30.53,0.83
Moth beans,18.5,254.16,0.31,7.03,114.63,24.6,1.14
Moth beans,18.45,266.1,1.16,6.57,78.96,28.92,0.78
Moth beans,4.88,398.64,0.62,6.59,63.86,29.24,1.13
Moth beans,24.58,258.6,0.52,7.02,76.45,25.53,1.26
Moth beans,4.74,224.76,0.8,6.43,86.93,31.06,1.65
Moth beans,11.74,495.27,0.47,6.18,57.21,30.89,1.13
Moth beans,7.66,301.51,1.08,6.71,104.23,25.64,1.51
Moth beans,19.25,490.85,0.68,6.03,114.02,28.47,1.59
Moth beans,24.17,203.82,1.15,7.15,76.93,28.25,1.21
Moth beans,29.27,339.76,0.86,6.23,90.76,25.57,0.99
Moth beans,19.09,297.38,0.82,7.28,44.03,28.9,0.71
Moth beans,23.96,458.47,0.56,7.4,62.54,24.24,1.27
Moth beans,20.54,446.06,0.96,6.18,99.01,30.4,0.67
Moth beans,19.53,234.76,0.73,7.05,113.89,29.26,0.99
Moth beans,23.99,218.66,0.63,7.36,90.63,31.6,1.1
Moth beans,19.85,369.83,0.55,7.35,78.89,27.77,1.19
Moth beans,27.9,489.6,0.41,6.94,42.66,27.48,1.52
Moth beans,10.0,431.12,0.7,6.39,104.62,24.25,1.83
Moth beans,29.48,287.08,0.68,6.96,108.35,24.45,1.12
Moth beans,28.26,279.97,0.86,7.4,103.82,24.93,1.78
Moth beans,13.9,267.85,0.98,6.67,77.14,27.58,0.5
Moth beans,22.8,306.1,0.81,6.95,85.76,27.2,1.55
Moth beans,16.4,491.37,0.68,6.62,98.8,25.83,1.3
Moth beans,27.11,484.54,0.4,7.21,47.33,30.72,1.6
Moth beans,21.57,248.37,1.14,7.03,58.87,31.14,0.97
Moth beans,4.15,432.65,0.86,7.05,46.35,24.56,0.61
Moth beans,21.39,254.13,0.4,6.71,69.01,27.01,0.84
Moth beans,23.01,497.89,0.69,6.01,73.02,30.56,1.63
Moth beans,13.04,319.72,0.35,7.0,86.31,30.47,1.11
Moth beans,11.46,206.36,0.86,6.41,58.45,28.25,0.69
Moth beans,24.73,248.01,0.36,6.11,46.6,31.47,1.37
Moth beans,16.77,226.14,0.55,7.31,41.08,30.83,1.21
Moth beans,25.3,276.78,0.26,6.77,106.37,25.5,0.95
Moth beans,23.63,449.69,1.18,6.42,76.11,31.91,1.35
Moth beans,29.95,433.86,1.1,6.34,69.37,30.46,1.42
Moth beans,11.53,469.97,0.95,6.64,63.74,27.99,0.59
Moth beans,8.72,379.4,1.17,6.78,45.85,27.95,1.03
Moth beans,6.3,268.09,0.74,7.08,88.53,25.36,0.84
Moth beans,0.67,201.43,0.38,6.19,81.14,26.1,0.73
Moth beans,29.65,240.72,1.16,6.74,90.2,27.55,1.0
Moth beans,12.98,361.59,0.55,7.11,84.95,30.58,0.97
Moth beans,15.69,208.54,0.8,6.59,54.02,28.48,1.3
Moth beans,9.84,444.52,0.49,6.22,62.41,27.89,0.95
Moth beans,8.6,467.63,1.05,7.06,78.43,31.8,0.71
Moth beans,15.79,395.34,0.43,6.79,68.31,29.76,1.41
Moth beans,25.73,317.67,1.07,6.51,98.6,28.93,1.56
Moth beans,8.45,211.49,1.16,6.11,106.92,28.51,1.4
Moth beans,27.4,397.34,0.23,7.43,108.7,27.06,1.62
Moth beans,3.66,472.2,1.09,6.4,53.31,28.72,0.79
Moth beans,11.65,278.42,0.5,6.24,89.79,31.08,1.41
Moth beans,17.56,310.72,1.02,7.22,60.45,27.46,1.18
Moth beans,4.08,356.24,0.93,7.19,63.5,29.32,1.37
Moth beans,11.67,462.16,0.35,6.39,117.43,27.14,1.24
Moth beans,3.28,480.54,0.45,7.46,75.05,25.48,1.63
Moth beans,3.16,399.36,0.58,6.55,89.7,24.88,1.13
Moth beans,15.94,399.35,0.39,7.1,111.24,25.24,0.94
Moth beans,20.93,271.61,0.79,7.45,99.87,30.37,1.09
Moth beans,4.33,284.41,0.3,6.68,118.85,31.1,0.65
Moth beans,6.41,439.61,0.6,7.26,86.47,27.71,1.84
Moth beans,10.68,381.07,1.17,6.81,103.07,24.05,1.37
Moth beans,24.5,435.99,0.32,6.59,110.51,24.89,1.06
Moth beans,20.39,449.05,1.0,7.43,116.41,28.96,1.07
Moth beans,12.95,374.23,0.93,7.19,75.98,30.18,1.58
Moth beans,15.87,402.43,0.28,6.38,100.96,24.92,0.74
Moth beans,21.01,263.51,0.81,7.09,59.38,28.46,0.58
Moth beans,13.1,414.34,0.3,7.47,59.11,27.75,1.42
Moth beans,18.57,269.78,0.4,6.12,50.97,25.05,0.92
Mung bean,2.01,394.92,0.81,7.08,72.24,29.62,1.79
Mung bean,0.68,616.97,0.78,6.1,63.48,24.58,0.92
Mung bean,38.17,513.46,0.51,6.82,103.22,31.57,2.1
Mung bean,4.64,388.02,0.77,6.9,56.61,30.3,0.88
Mung bean,2.37,372.6,0.4,6.06,61.79,23.83,1.92
Mung bean,12.5,625.22,1.34,6.98,90.86,27.13,1.55
Mung bean,19.6,472.58,0.47,6.16,122.25,21.85,1.26
Mung bean,14.95,606.77,1.18,6.92,112.34,26.92,1.35
Mung bean,35.48,538.26,0.52,6.09,77.92,22.62,1.51
Mung bean,9.57,533.13,0.84,7.36,86.99,33.72,1.63
Mung bean,20.29,383.82,0.26,6.58,54.65,27.44,1.6
Mung bean,22.1,677.6,0.39,7.1,67.53,23.41,1.51
Mung bean,6.64,500.97,1.25,6.63,80.63,25.82,1.99
Mung bean,26.21,450.3,1.01,6.98,127.51,20.79,1.64
Mung bean,28.67,653.12,0.67,7.03,101.98,26.14,1.81
Mung bean,17.09,666.49,1.38,6.19,122.33,33.15,2.07
Mung bean,22.73,466.9,1.34,6.81,45.35,34.59,1.29
Mung bean,35.42,653.14,1.41,6.89,123.56,29.41,1.81
Mung bean,26.34,627.59,0.49,6.38,101.83,23.54,1.9
Mung bean,7.56,365.08,0.42,6.1,44.72,34.0,0.73
Mung bean,20.68,660.46,1.32,6.7,68.84,25.52,1.53
Mung bean,19.05,353.22,1.27,6.3,87.04,25.39,2.16
Mung bean,9.52,442.88,1.24,6.15,43.01,20.11,1.34
Mung bean,18.68,426.81,0.56,6.79,76.2,20.39,1.4
Mung bean,4.57,577.65,0.47,7.14,83.82,31.15,1.76
Mung bean,35.6,400.02,1.48,6.3,106.78,29.44,1.01
Mung bean,38.26,508.92,0.84,7.48,95.71,24.82,1.01
Mung bean,4.8,446.44,0.2,7.08,91.1,24.12,2.36
Mung bean,2.59,578.79,0.85,6.27,115.29,32.06,2.31
Mung bean,32.3,439.77,0.49,6.23,113.45,34.15,0.99
Mung bean,4.14,561.58,1.49,7.14,98.44,31.03,2.57
Mung bean,7.6,533.06,0.75,7.2,112.01,31.86,2.54
Mung bean,12.85,559.15,0.36,6.8,120.05,32.9,1.2
Mung bean,22.48,423.61,0.21,6.65,116.98,34.39,1.08
Mung bean,23.45,408.88,0.89,6.98,63.3,33.99,1.09
Mung bean,3.69,463.03,0.43,6.46,43.95,22.39,1.02
Mung bean,1.15,417.79,0.98,6.47,103.88,20.34,1.35
Mung bean,4.48,522.72,0.38,7.0,98.85,21.73,1.72
Mung bean,23.02,462.06,0.62,7.28,49.64,26.51,1.79
Mung bean,15.04,536.62,0.4,7.45,125.06,29.61,2.37
Mung bean,19.55,485.87,0.77,6.52,98.5,31.63,2.27
Mung bean,13.42,392.43,1.34,7.21,92.72,34.53,1.44
Mung bean,21.23,354.76,1.04,6.06,111.02,22.41,1.01
Mung bean,10.01,459.49,1.24,6.67,127.01,23.31,1.57
Mung bean,28.6,488.42,0.38,6.29,116.76,34.05,1.7
Mung bean,38.42,624.84,1.0,7.07,46.59,27.75,1.61
Mung bean,28.79,680.02,0.97,6.03,90.08,28.17,1.57
Mung bean,24.06,646.14,0.53,7.43,124.79,30.43,1.57
Mung bean,8.38,487.35,1.3,6.92,75.92,33.58,1.46
Mung bean,12.15,428.85,1.25,6.56,125.37,30.93,2.28
Mung bean,39.49,472.39,0.47,7.48,52.21,25.57,1.65
Mung bean,26.08,633.99,1.47,6.37,112.24,21.71,1.4
Mung bean,7.62,481.86,1.46,7.01,60.19,29.63,1.44
Mung bean,17.72,429.47,1.3,6.74,74.04,32.84,0.82
Mung bean,39.59,371.77,0.84,7.05,95.75,24.27,1.78
Mung bean,35.06,394.25,0.92,6.39,46.2,29.17,1.6
Mung bean,16.51,664.38,1.32,6.32,43.82,33.28,0.83
Mung bean,32.17,697.33,0.23,6.99,50.57,31.88,2.29
Mung bean,34.46,512.03,0.86,6.27,91.1,22.42,1.69
Mung bean,31.29,694.65,0.25,6.99,50.41,27.11,2.14
Mung bean,27.37,621.7,0.46,6.51,121.63,20.16,1.79
Mung bean,8.17,483.8,1.35,6.83,46.36,33.74,1.37
Mung bean,1.27,514.5,0.72,6.48,43.48,26.96,1.4
Mung bean,11.06,407.45,0.68,6.22,76.12,22.27,1.69
Mung bean,17.2,583.34,1.24,7.06,47.48,30.68,0.98
Mung bean,1.62,386.33,1.15,6.59,106.52,32.03,2.26
Mung bean,38.05,440.57,0.79,6.1,81.24,27.03,1.85
Mung bean,29.7,547.81,0.67,6.07,92.42,22.03,1.78
Mung bean,29.43,659.75,1.45,7.48,121.79,28.52,1.78
Mung bean,2.54,566.5,0.4,6.11,47.21,22.51,0.96
Mung bean,16.41,507.54,1.46,6.27,96.61,31.86,1.12
Mung bean,27.91,617.28,1.37,7.44,60.44,29.96,1.17
Mung bean,22.17,559.89,0.81,7.32,114.95,22.96,1.73
Mung bean,22.9,429.54,0.27,6.29,113.87,33.9,0.97
Mung bean,21.47,539.72,1.04,6.91,104.05,29.47,1.54
Mung bean,37.99,632.13,0.88,7.44,123.54,34.24,1.59
Mung bean,14.75,463.41,1.11,7.37,126.69,34.58,1.03
Mung bean,29.95,663.74,0.54,6.46,127.23,21.89,1.39
Mung bean,28.69,547.64,0.55,6.73,57.56,27.58,1.3
Mung bean,23.04,623.43,0.58,6.96,47.99,30.71,1.89
Mung bean,7.05,631.67,0.37,7.12,114.13,33.29,1.17
Mung bean,1.94,687.65,0.84,6.47,42.62,22.11,1.94
Mung bean,33.53,381.83,0.95,6.99,70.83,26.86,0.95
Mung bean,5.16,376.28,1.32,6.05,122.55,20.46,1.86
Mung bean,33.63,526.37,1.32,6.18,83.06,31.92,1.66
Mung bean,13.23,443.8,1.25,6.29,98.53,26.79,2.15
Mung bean,33.28,601.96,1.09,6.85,65.75,30.15,1.23
Mung bean,7.99,664.91,0.6,6.24,42.9,33.28,1.09
Mung bean,12.71,676.69,0.31,7.28,77.21,28.0,2.29
Mung bean,27.02,674.58,1.15,6.77,120.09,32.91,1.39
Mung bean,28.52,409.53,0.26,6.91,117.29,24.69,1.83
Mung bean,27.36,650.21,1.41,7.3,49.98,31.15,1.19
Mung bean,2.56,699.86,0.5,6.29,49.07,24.4,1.46
Mung bean,23.22,388.06,0.91,7.29,123.39,20.78,0.97
Mung bean,16.75,642.25,0.71,6.49,117.21,24.81,1.85
Mung bean,4.77,663.19,0.32,7.31,57.36,30.72,2.24
Mung bean,7.96,497.19,0.46,7.1,111.02,29.11,2.03
Mung bean,22.97,548.51,0.66,6.49,65.93,27.42,1.16
Mung bean,20.08,405.35,1.18,6.11,74.61,27.32,1.82
Mung bean,39.59,627.49,1.16,7.45,59.67,32.94,1.31
Black gram,11.18,689.55,1.3,6.43,42.38,28.37,0.79
Black gram,4.18,978.96,0.25,7.32,123.51,33.74,1.4
Black gram,2.51,795.41,0.5,7.3,93.55,30.76,1.49
Black gram,10.88,768.94,0.71,6.92,90.08,34.47,0.98
Black gram,7.33,967.58,1.25,7.34,105.38,26.75,2.34
Black gram,6.11,993.99,1.05,6.86,93.12,26.7,1.91
Black gram,29.54,783.26,1.21,6.54,89.61,29.79,2.05
Black gram,2.29,895.25,1.3,6.77,72.0,28.86,1.82
Black gram,16.16,822.46,0.69,6.34,96.03,29.51,1.46
Black gram,15.62,746.78,1.43,6.56,88.26,32.29,2.05
Black gram,28.36,810.77,1.02,6.94,80.0,31.39,1.63
Black gram,13.83,967.28,1.31,7.13,44.62,25.98,1.04
Black gram,34.44,949.49,1.05,6.53,47.56,31.93,1.08
Black gram,5.96,996.92,0.3,7.45,101.03,34.42,1.81
Black gram,18.75,819.19,0.94,6.11,110.95,33.82,1.4
Black gram,9.56,900.35,1.29,6.39,110.41,27.66,1.38
Black gram,7.08,714.39,1.42,7.06,41.58,30.34,1.09
Black gram,30.33,632.05,0.79,6.2,127.19,26.35,1.6
Black gram,10.11,618.18,1.12,6.73,47.54,28.43,0.88
Black gram,28.57,903.22,0.41,6.1,88.72,34.5,2.07
Black gram,34.5,631.35,0.37,7.12,87.78,29.67,1.37
Black gram,26.14,951.65,0.71,6.18,72.16,33.32,1.25
Black gram,5.91,861.53,1.25,6.53,84.84,34.09,1.01
Black gram,27.56,890.78,1.44,6.77,73.35,25.83,1.27
Black gram,34.84,655.34,1.35,6.01,111.29,30.16,1.88
Black gram,19.5,889.42,0.36,7.15,117.92,28.04,2.06
Black gram,28.79,604.14,0.28,6.78,98.65,32.0,2.02
Black gram,2.37,688.01,0.95,7.49,83.07,32.48,1.28
Black gram,28.77,801.63,0.82,6.5,90.6,32.87,1.27
Black gram,0.84,620.84,0.59,6.24,125.89,28.24,1.68
Black gram,31.12,808.67,1.19,6.85,117.08,28.39,1.86
Black gram,8.59,644.68,0.42,6.17,65.4,25.11,0.97
Black gram,8.33,620.01,0.21,7.01,70.89,26.81,1.66
Black gram,16.35,695.36,0.94,6.4,54.71,28.92,1.54
Black gram,13.51,822.51,0.9,7.23,96.59,30.94,1.69
Black gram,24.15,678.92,0.76,7.37,66.8,31.98,1.11
Black gram,18.41,961.11,0.52,6.88,112.4,34.65,2.08
Black gram,27.66,907.98,0.96,7.31,69.01,30.89,2.02
Black gram,9.45,611.68,1.17,6.83,88.96,29.57,1.7
Black gram,7.18,707.46,0.66,7.42,53.78,26.12,1.53
Black gram,21.21,668.41,0.22,6.6,117.47,26.4,0.93
Black gram,22.71,914.89,1.15,6.65,95.54,26.39,2.0
Black gram,26.95,850.98,1.19,6.35,129.36,29.35,1.9
Black gram,6.13,899.45,0.53,7.16,49.54,31.52,0.87
Black gram,7.37,802.25,0.85,6.43,68.2,27.58,1.09
Black gram,23.77,688.65,1.43,6.38,90.93,32.87,1.93
Black gram,21.35,671.75,0.43,6.16,68.04,29.45,1.6
Black gram,1.99,854.42,1.28,6.72,53.31,26.32,1.22
Black gram,10.48,861.86,0.64,7.21,104.47,27.26,2.33
Black gram,27.91,618.57,1.12,6.63,77.49,32.86,1.28
Black gram,23.76,830.66,1.19,7.31,80.5,32.1,0.99
Black gram,32.37,859.71,1.1,7.4,72.12,32.5,1.08
Black gram,16.74,720.29,0.57,6.88,95.04,26.57,1.93
Black gram,4.62,685.2,0.96,7.1,61.48,32.03,1.63
Black gram,32.49,742.93,1.14,6.33,93.42,30.46,1.06
Black gram,16.63,910.46,1.49,6.5,78.5,26.64,1.91
Black gram,14.57,693.82,0.2,7.24,87.85,28.48,2.05
Black gram,34.9,714.51,0.22,7.15,49.11,30.42,0.84
Black gram,5.06,758.46,1.42,6.61,121.76,33.46,1.21
Black gram,5.76,650.91,1.45,7.32,102.61,26.56,1.7
Black gram,13.73,793.39,0.54,6.05,83.69,25.87,0.73
Black gram,34.24,924.46,0.43,6.86,110.79,34.41,1.77
Black gram,24.64,783.71,0.2,6.97,122.17,33.67,1.74
Black gram,6.11,681.44,1.37,6.6,51.93,26.36,1.51
Black gram,29.31,830.36,0.99,7.05,54.7,30.61,2.0
Black gram,25.7,963.91,0.87,6.58,63.7,32.06,1.63
Black gram,19.17,879.39,0.24,6.55,86.15,29.01,1.69
Black gram,5.63,702.06,0.55,7.33,42.22,25.17,1.31
Black gram,5.32,896.58,0.98,6.61,93.43,26.18,2.07
Black gram,14.46,970.07,0.44,7.1,41.45,34.36,1.95
Black gram,30.99,832.62,0.83,7.21,55.13,25.57,1.33
Black gram,34.8,972.7,1.18,6.42,94.09,27.39,1.56
Black gram,28.37,850.16,0.48,6.77,127.66,34.78,1.58
Black gram,7.97,842.87,1.15,7.31,93.46,27.58,2.33
Black gram,1.71,921.5,1.16,6.64,84.48,34.63,0.92
Black gram,33.6,943.86,0.86,7.0,78.37,26.42,2.03
Black gram,27.15,898.75,1.45,7.12,61.1,32.88,1.34
Black gram,31.97,630.02,0.87,6.52,111.34,31.09,1.69
Black gram,11.84,669.91,0.96,6.17,120.86,33.69,1.03
Black gram,11.25,892.45,0.96,6.39,45.74,28.65,1.8
Black gram,34.35,774.54,1.14,6.09,91.71,33.35,0.84
Black gram,24.86,740.27,0.44,7.04,105.85,28.82,1.32
Black gram,6.55,874.8,1.42,6.21,96.39,27.71,0.99
Black gram,28.77,622.19,0.86,6.99,113.59,26.3,0.89
Black gram,16.36,666.45,0.36,6.22,59.29,29.38,1.53
Black gram,19.95,902.27,1.37,6.16,68.12,34.72,1.72
Black gram,11.19,883.25,0.65,6.92,52.84,26.55,1.22
Black gram,5.63,867.9,0.63,6.79,80.75,28.32,1.8
Black gram,30.01,741.34,0.75,6.36,47.66,29.06,1.66
Black gram,22.55,695.36,0.91,7.01,74.85,33.13,1.46
Black gram,29.75,940.24,0.36,6.52,73.77,30.49,0.9
Black gram,28.37,740.11,0.78,7.38,50.13,29.89,0.85
Black gram,23.18,779.02,0.63,7.41,111.95,32.1,1.3
Black gram,21.52,790.37,0.52,6.79,75.25,28.17,0.91
Black gram,17.63,607.41,1.1,7.03,118.63,27.62,1.28
Black gram,30.33,889.07,1.0,7.02,84.13,25.15,1.25
Black gram,29.85,965.29,0.54,7.22,44.65,26.56,1.7
Black gram,9.19,855.48,1.07,6.81,113.72,33.55,1.79
Black gram,32.56,813.17,0.58,6.19,47.44,26.74,1.54
Black gram,13.8,994.65,0.21,6.34,127.56,30.11,1.33
Lentil,31.07,513.63,0.41,6.81,57.86,21.55,1.51
Lentil,37.03,434.79,1.15,6.23,89.88,17.34,1.31
Lentil,25.02,471.27,0.34,7.08,83.98,17.73,1.81
Lentil,36.91,545.55,0.92,7.29,109.85,20.17,1.49
Lentil,26.97,614.96,0.65,6.84,111.09,18.2,1.58
Lentil,21.74,448.08,1.11,7.41,77.06,24.91,1.31
Lentil,32.21,591.65,0.42,7.42,50.82,15.08,2.07
Lentil,19.56,684.68,0.5,6.12,69.36,15.59,2.14
Lentil,38.75,531.55,1.04,6.21,113.32,18.3,1.41
Lentil,12.37,605.97,0.78,7.12,119.04,16.36,1.83
Lentil,31.49,492.77,0.75,6.29,106.29,21.04,1.56
Lentil,6.64,557.3,1.12,7.09,52.61,15.94,2.11
Lentil,43.48,645.65,0.86,6.59,101.46,16.34,1.81
Lentil,12.33,557.61,0.44,6.08,52.52,18.13,1.44
Lentil,3.18,642.78,0.75,7.23,54.51,24.85,1.18
Lentil,35.23,613.84,0.74,7.49,44.81,21.82,2.07
Lentil,3.11,480.36,0.47,6.5,101.61,23.0,1.49
Lentil,12.53,412.74,0.6,7.27,84.9,19.73,1.32
Lentil,1.22,667.54,0.54,7.07,79.07,18.54,1.8
Lentil,10.7,695.46,1.04,7.17,104.84,20.76,1.42
Lentil,13.46,424.1,0.42,7.0,73.62,15.25,1.94
Lentil,15.66,487.73,0.25,6.84,47.59,18.02,1.18
Lentil,6.25,385.07,0.67,6.86,114.41,17.08,2.17
